age,education,black,hispanic,married,nodegree,re74,re75,T,Y_factual,Y0,Y1,which_imputed
37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,9930.046,6040.335,9930.046,Y0
22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3595.894,8329.823,3595.894,Y0
30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,24909.45,13613.35,24909.45,Y0
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,7506.146,11197.34,7506.146,Y0
33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,289.7899,7152.132,289.7899,Y0
22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,4056.494,12898.38,4056.494,Y0
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Y0
32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,8472.158,11120.53,8472.158,Y0
22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2164.022,5775.062,2164.022,Y0
33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1,12418.07,0.0,12418.07,Y0
19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,8173.908,5712.643,8173.908,Y0
21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,17094.64,5775.062,17094.64,Y0
18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1568.15,0.0,Y0
27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,1,18739.93,3701.812,18739.93,Y0
17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3023.879,4132.577,3023.879,Y0
19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3228.503,4309.878,3228.503,Y0
27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,14581.86,7609.518,14581.86,Y0
23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,7693.4,0.0,7693.4,Y0
40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,10804.32,0.0,10804.32,Y0
26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,10747.35,0.0,10747.35,Y0
23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,4350.907,0.0,Y0
41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5149.501,0.0,5149.501,Y0
38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6408.95,8190.421,6408.95,Y0
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1991.4,14626.39,1991.4,Y0
18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,11163.17,202.2847,11163.17,Y0
29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,9642.999,10225.88,9642.999,Y0
25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,9897.049,1264.232,9897.049,Y0
27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1,11142.87,15791.13,11142.87,Y0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,16218.04,2657.705,16218.04,Y0
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,995.7002,14626.39,995.7002,Y0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,2657.705,0.0,Y0
48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1,6551.592,5843.796,6551.592,Y0
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1574.424,44.75546,1574.424,Y0
20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Y0
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3191.753,3418.097,3191.753,Y0
42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1,20505.93,0.0,20505.93,Y0
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1,6181.88,0.0,6181.88,Y0
23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5911.551,0.0,5911.551,Y0
46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1,3094.156,0.0,3094.156,Y0
24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Y0
21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1254.582,0.0,1254.582,Y0
19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1,13188.83,7300.498,13188.83,Y0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,8061.485,7010.444,8061.485,Y0
18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,1,2787.96,4485.616,2787.96,Y0
20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3972.54,1553.291,3972.54,Y0
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0.0,44.75546,0.0,Y0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,7010.444,0.0,Y0
17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,3590.702,0.0,Y0
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1,12187.41,0.0,12187.41,Y0
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4843.176,0.0,4843.176,Y0
28.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Y0
31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,8087.487,10225.88,8087.487,Y0
18.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,4657.273,0.0,Y0
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2348.973,3418.097,2348.973,Y0
30.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,590.7818,10225.88,590.7818,Y0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,2657.705,0.0,Y0
37.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1067.506,0.0,1067.506,Y0
41.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1,7284.986,0.0,7284.986,Y0
42.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1,13167.52,3795.799,13167.52,Y0
22.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1048.432,0.0,1048.432,Y0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,7010.444,0.0,Y0
29.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1923.938,0.0,1923.938,Y0
35.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,4666.236,445.8309,4666.236,Y0
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,549.2984,11197.34,549.2984,Y0
29.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1,762.9146,0.0,762.9146,Y0
28.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,10694.29,0.0,10694.29,Y0
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,11197.34,0.0,Y0
23.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,10569.27,0.0,Y0
45.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1,8546.715,0.0,8546.715,Y0
29.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,7479.656,0.0,7479.656,Y0
27.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Y0
46.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,647.2046,0.0,647.2046,Y0
18.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,4132.577,0.0,Y0
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,11965.81,3418.097,11965.81,Y0
28.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1,9598.541,0.0,9598.541,Y0
25.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1,18783.35,10361.69,18783.35,Y0
22.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,18678.08,0.0,18678.08,Y0
21.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,3343.224,0.0,Y0
40.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,23005.6,0.0,23005.6,Y0
22.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,6456.697,0.0,6456.697,Y0
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3418.097,0.0,Y0
18.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2321.107,0.0,2321.107,Y0
38.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4941.849,0.0,4941.849,Y0
27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,7609.518,0.0,Y0
27.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,3783.66,0.0,Y0
38.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Y0
23.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3881.284,9920.945,3881.284,Y0
26.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,17230.96,7176.187,17230.96,Y0
21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8048.603,11294.63,8048.603,Y0
25.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,3515.929,0.0,Y0
31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,14509.93,10225.88,14509.93,Y0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,2657.705,0.0,Y0
25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1264.232,0.0,Y0
21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,9983.784,0.0,9983.784,Y0
44.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Y0
25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5587.503,11294.63,5587.503,Y0
18.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,4482.845,10740.08,4482.845,Y0
42.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2456.153,0.0,2456.153,Y0
25.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,7367.04,0.0,Y0
31.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,1,26817.6,15791.13,26817.6,Y0
24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Y0
26.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,9265.788,3931.238,9265.788,Y0
25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,485.2298,1264.232,485.2298,Y0
18.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,4814.627,4657.273,4814.627,Y0
19.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,7458.105,0.0,7458.105,Y0
43.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,9722.003,0.0,Y0
27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,34099.28,7609.518,34099.28,Y0
17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1953.268,3590.702,1953.268,Y0
30.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,Y0
26.0,10.0,1.0,0.0,1.0,1.0,2027.999,0.0,1,0.0,3701.812,0.0,Y0
20.0,9.0,1.0,0.0,0.0,1.0,6083.994,0.0,1,8881.665,39483.53,8881.665,Y0
17.0,9.0,0.0,1.0,0.0,1.0,445.1704,74.34345,1,6210.67,5114.814,6210.67,Y0
20.0,12.0,1.0,0.0,0.0,0.0,989.2678,165.2077,1,0.0,0.0,0.0,Y0
18.0,11.0,1.0,0.0,0.0,1.0,858.2543,214.5636,1,929.8839,5497.591,929.8839,Y0
27.0,12.0,1.0,0.0,1.0,0.0,3670.872,334.0493,1,0.0,0.0,0.0,Y0
21.0,12.0,0.0,0.0,0.0,0.0,3670.872,334.0494,1,12558.02,11294.63,12558.02,Y0
27.0,12.0,1.0,0.0,0.0,0.0,2143.413,357.9499,1,22163.25,0.0,22163.25,Y0
20.0,12.0,1.0,0.0,0.0,0.0,0.0,377.5686,1,1652.637,4159.919,1652.637,Y0
19.0,10.0,1.0,0.0,0.0,1.0,0.0,385.2741,1,8124.715,0.0,8124.715,Y0
23.0,12.0,1.0,0.0,0.0,0.0,5506.308,501.0741,1,671.3318,439.6881,671.3318,Y0
29.0,14.0,1.0,0.0,0.0,0.0,0.0,679.6734,1,17814.98,0.0,17814.98,Y0
18.0,10.0,1.0,0.0,0.0,1.0,0.0,798.9079,1,9737.154,0.0,9737.154,Y0
19.0,9.0,1.0,0.0,0.0,1.0,0.0,798.9079,1,17685.18,5712.643,17685.18,Y0
