age,education,black,hispanic,married,nodegree,re74,re75,T,Y_factual,Y0,Y1,which_imputed
37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,9930.046,2692.5836195423362,9930.046,Y0
22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3595.894,6640.751640648448,3595.894,Y0
30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,24909.45,7013.639746360797,24909.45,Y0
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,7506.146,3890.990336258169,7506.146,Y0
33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,289.7899,3002.0542121440867,289.7899,Y0
22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,4056.494,3348.475891217188,4056.494,Y0
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,914.1537352144857,0.0,Y0
32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,8472.158,6251.356572192104,8472.158,Y0
22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2164.022,4300.78245609838,2164.022,Y0
33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1,12418.07,3516.8233976401184,12418.07,Y0
19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,8173.908,4014.5167637231207,8173.908,Y0
21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,17094.64,2459.8932450314755,17094.64,Y0
18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,4576.925872341958,0.0,Y0
27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,1,18739.93,2252.208223920572,18739.93,Y0
17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3023.879,6564.519503821298,3023.879,Y0
19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3228.503,2564.901335187547,3228.503,Y0
27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,14581.86,4382.247160639085,14581.86,Y0
23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,7693.4,1784.3134680669798,7693.4,Y0
40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,10804.32,2927.359034037828,10804.32,Y0
26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,10747.35,3777.6274899636937,10747.35,Y0
23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1687.5791075802765,0.0,Y0
41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5149.501,5483.116491838006,5149.501,Y0
38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6408.95,2101.3959601929937,6408.95,Y0
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1991.4,3930.3874256365434,1991.4,Y0
18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,11163.17,4071.3252198453824,11163.17,Y0
29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,9642.999,2404.29833155461,9642.999,Y0
25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,9897.049,3833.655794457689,9897.049,Y0
27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1,11142.87,8961.652728269193,11142.87,Y0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,16218.04,2278.7896548068343,16218.04,Y0
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,995.7002,3930.3874256365434,995.7002,Y0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,2278.7896548068343,0.0,Y0
48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1,6551.592,4309.397443362377,6551.592,Y0
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1574.424,2288.4501767275733,1574.424,Y0
20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1945.8179740604446,0.0,Y0
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3191.753,2823.13587306834,3191.753,Y0
42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1,20505.93,7266.267685645345,20505.93,Y0
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1,6181.88,1009.3734855074694,6181.88,Y0
23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5911.551,519.5783421405307,5911.551,Y0
46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1,3094.156,3911.5971243804706,3094.156,Y0
24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,4027.121786123248,0.0,Y0
21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1254.582,1855.2735743560863,1254.582,Y0
19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1,13188.83,4861.841192876851,13188.83,Y0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,8061.485,7209.90231767909,8061.485,Y0
18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,1,2787.96,17627.585159161907,2787.96,Y0
20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3972.54,2719.243346426234,3972.54,Y0
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0.0,2288.4501767275733,0.0,Y0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,7209.90231767909,0.0,Y0
17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,3295.4015731650998,0.0,Y0
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1,12187.41,1009.3734855074694,12187.41,Y0
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4843.176,914.1537352144857,4843.176,Y0
