age,education,black,hispanic,married,nodegree,re74,re75,T,Y_factual,Y0,Y1,which_imputed
37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,9930.046,4294.603385825121,9930.046,Y0
22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3595.894,5602.251975327794,3595.894,Y0
30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,24909.45,19391.63711627158,24909.45,Y0
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,7506.146,4465.985545189951,7506.146,Y0
33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,289.7899,186.66281028916933,289.7899,Y0
22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,4056.494,2619.9492922580057,4056.494,Y0
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-4129.883763385353,0.0,Y0
32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,8472.158,5198.212765082217,8472.158,Y0
22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2164.022,-2312.505946135904,2164.022,Y0
33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1,12418.07,1605.256490643782,12418.07,Y0
19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,8173.908,5206.127636273741,8173.908,Y0
21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,17094.64,5474.738221620748,17094.64,Y0
18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,4070.574493962095,0.0,Y0
27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,1,18739.93,15366.200366110981,18739.93,Y0
17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3023.879,7325.324033360696,3023.879,Y0
19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3228.503,351.35688275653456,3228.503,Y0
27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,14581.86,5669.144958999346,14581.86,Y0
23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,7693.4,6628.41319462047,7693.4,Y0
40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,10804.32,4605.747928023094,10804.32,Y0
26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,10747.35,5177.559331769728,10747.35,Y0
23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,-1517.6463268467114,0.0,Y0
41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5149.501,-667.7379769933186,5149.501,Y0
38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6408.95,4303.23099447045,6408.95,Y0
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1991.4,2943.3569339201626,1991.4,Y0
18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,11163.17,10207.65744486071,11163.17,Y0
29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,9642.999,4376.614476972807,9642.999,Y0
25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,9897.049,10175.772373950538,9897.049,Y0
27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1,11142.87,9258.434883918455,11142.87,Y0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,16218.04,14964.496767650762,16218.04,Y0
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,995.7002,1947.6571339201628,995.7002,Y0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,-1253.5432323492378,0.0,Y0
48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1,6551.592,5932.937498672952,6551.592,Y0
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1574.424,156.52483676343513,1574.424,Y0
20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-1634.1318674853483,0.0,Y0
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3191.753,1033.2059585093589,3191.753,Y0
42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1,20505.93,14493.384259288028,20505.93,Y0
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1,6181.88,289.5824451854214,6181.88,Y0
23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5911.551,73.15063067021947,5911.551,Y0
46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1,3094.156,7013.999034465337,3094.156,Y0
24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1533.2588340432483,0.0,Y0
21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1254.582,-3296.6310536448545,1254.582,Y0
19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1,13188.83,8764.003748922083,13188.83,Y0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,8061.485,12431.294091942436,8061.485,Y0
18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,1,2787.96,15157.569606013902,2787.96,Y0
20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3972.54,2878.7335990957267,3972.54,Y0
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0.0,-1417.8991632365648,0.0,Y0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,4369.809091942437,0.0,Y0
17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,291.84752442220775,0.0,Y0
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1,12187.41,6295.112445185421,12187.41,Y0
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4843.176,713.2922366146477,4843.176,Y0
28.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,514.0870111711217,0.0,Y0
31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,8087.487,2493.906823403405,8087.487,Y0
18.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,192.28394613478372,0.0,Y0
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2348.973,190.42595850935868,2348.973,Y0
30.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1,590.7818,-2051.0939931609055,590.7818,Y0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,-1253.5432323492378,0.0,Y0
37.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1067.506,145.9972150113049,1067.506,Y0
41.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1,7284.986,3502.395085194431,7284.986,Y0
42.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1,13167.52,6585.153695797595,13167.52,Y0
22.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1048.432,-532.2643314392346,1048.432,Y0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,4369.809091942437,0.0,Y0
29.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1923.938,2504.0700189275462,1923.938,Y0
35.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,4666.236,1950.6619562194364,4666.236,Y0
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,549.2984,-2490.862054810048,549.2984,Y0
29.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1,762.9146,-3132.28549454683,762.9146,Y0
28.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,10694.29,8543.21402238946,10694.29,Y0
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,-3040.160454810048,0.0,Y0
23.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1703.3522930408692,0.0,Y0
45.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1,8546.715,3190.2408802595082,8546.715,Y0
29.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,7479.656,-1460.3104778994812,7479.656,Y0
27.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,-653.0661899436816,0.0,Y0
46.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1,647.2046,5013.4617163088915,647.2046,Y0
18.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,3438.964672409828,0.0,Y0
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,11965.81,9807.262958509358,11965.81,Y0
28.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1,9598.541,1565.0828729841014,9598.541,Y0
25.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1,18783.35,19014.523266756816,18783.35,Y0
22.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,18678.08,13515.238197493414,18678.08,Y0
