gender_n,ethnicity_n,birth_n,lunchk_n,schoolk_n,degreek_n,ladderk_n,experiencek_n,tethnicityk_n,T,Y_factual,Y0,Y1,which_imputed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1,920.0,849.0,920.0,Y0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,21.0,0.0,1,986.0,905.0,986.0,Y0
1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0,902.0,902.0,893.0,Y1
1.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0,1007.0,1007.0,857.0,Y1
1.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1,936.0,863.0,936.0,Y0
1.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0,885.0,885.0,821.0,Y1
0.0,1.0,2.0,1.0,2.0,1.0,0.0,17.0,0.0,0,818.0,818.0,940.0,Y1
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0,951.0,951.0,840.0,Y1
0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,1,917.0,871.0,917.0,Y0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,1,983.0,962.0,983.0,Y0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0,903.0,903.0,859.0,Y1
1.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0,905.0,905.0,1036.0,Y1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1033.0,852.0,1033.0,Y0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,918.0,911.0,918.0,Y0
1.0,0.0,4.0,0.0,1.0,0.0,0.0,18.0,0.0,0,1018.0,1018.0,940.0,Y1
1.0,0.0,3.0,0.0,1.0,1.0,0.0,13.0,0.0,0,923.0,923.0,845.0,Y1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0,883.0,883.0,899.0,Y1
0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0,965.0,965.0,902.0,Y1
0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,1,900.0,892.0,900.0,Y0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0,983.0,983.0,927.0,Y1
1.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,0.0,0,885.0,885.0,864.0,Y1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,924.0,924.0,1203.0,Y1
1.0,0.0,0.0,1.0,3.0,1.0,0.0,14.0,0.0,1,1058.0,809.0,1058.0,Y0
0.0,1.0,2.0,1.0,2.0,0.0,0.0,11.0,0.0,0,880.0,880.0,857.0,Y1
1.0,1.0,2.0,1.0,2.0,0.0,0.0,10.0,1.0,0,1039.0,1039.0,946.0,Y1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0,945.0,945.0,1026.0,Y1
0.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,0.0,0,1081.0,1081.0,987.0,Y1
0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0,872.0,872.0,867.0,Y1
1.0,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,0,929.0,929.0,879.0,Y1
0.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0,842.0,842.0,949.0,Y1
0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0,925.0,925.0,979.0,Y1
1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1,857.0,785.0,857.0,Y0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,0,856.0,856.0,960.0,Y1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1,848.0,962.0,848.0,Y0
1.0,1.0,1.0,1.0,3.0,0.0,-1.0,11.0,0.0,0,887.0,887.0,948.0,Y1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,934.0,934.0,989.0,Y1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1,1017.0,940.0,1017.0,Y0
0.0,0.0,2.0,0.0,3.0,1.0,0.0,7.0,0.0,1,904.0,1038.0,904.0,Y0
1.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,0.0,1,945.0,1003.0,945.0,Y0
1.0,0.0,4.0,0.0,3.0,2.0,0.0,12.0,0.0,1,1052.0,902.0,1052.0,Y0
