gender_n,ethnicity_n,birth_n,lunchk_n,schoolk_n,degreek_n,ladderk_n,experiencek_n,tethnicityk_n,T,Y_factual,Y0,Y1,which_imputed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1,920.0,948.2132168896317,920.0,Y0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,21.0,0.0,1,986.0,945.8722797704545,986.0,Y0
1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0,902.0,902.0,975.7320490934364,Y1
1.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0,1007.0,1007.0,975.9328260781865,Y1
1.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1,936.0,888.4731470842256,936.0,Y0
1.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0,885.0,885.0,908.4991304064639,Y1
0.0,1.0,2.0,1.0,2.0,1.0,0.0,17.0,0.0,0,818.0,818.0,886.5475850134466,Y1
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0,951.0,951.0,900.0683542844193,Y1
0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,1,917.0,904.9254094232701,917.0,Y0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,1,983.0,936.13494526302,983.0,Y0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0,903.0,903.0,942.5311853611353,Y1
1.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0,905.0,905.0,935.8128958268499,Y1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1033.0,928.3531511757471,1033.0,Y0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,918.0,929.805262212558,918.0,Y0
1.0,0.0,4.0,0.0,1.0,0.0,0.0,18.0,0.0,0,1018.0,1018.0,998.5936106137237,Y1
1.0,0.0,3.0,0.0,1.0,1.0,0.0,13.0,0.0,0,923.0,923.0,921.2403363519151,Y1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0,883.0,883.0,940.1194095154668,Y1
0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0,965.0,965.0,871.7703516734854,Y1
0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,1,900.0,932.1746304653473,900.0,Y0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0,983.0,983.0,919.2927245379274,Y1
1.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,0.0,0,885.0,885.0,929.9045251009297,Y1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,924.0,924.0,973.0027520571089,Y1
1.0,0.0,0.0,1.0,3.0,1.0,0.0,14.0,0.0,1,1058.0,917.642563006944,1058.0,Y0
0.0,1.0,2.0,1.0,2.0,0.0,0.0,11.0,0.0,0,880.0,880.0,906.9879868328497,Y1
1.0,1.0,2.0,1.0,2.0,0.0,0.0,10.0,1.0,0,1039.0,1039.0,886.4217652956974,Y1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0,945.0,945.0,952.4233488567485,Y1
0.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,0.0,0,1081.0,1081.0,954.8886345081569,Y1
0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0,872.0,872.0,949.915236961627,Y1
1.0,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,0,929.0,929.0,917.5907633616389,Y1
0.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0,842.0,842.0,1011.1240837748793,Y1
0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0,925.0,925.0,962.6164880260364,Y1
1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1,857.0,889.9401598004786,857.0,Y0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,0,856.0,856.0,907.1369591834574,Y1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1,848.0,882.5967884555545,848.0,Y0
1.0,1.0,1.0,1.0,3.0,0.0,-1.0,11.0,0.0,0,887.0,887.0,834.3251538203355,Y1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,934.0,934.0,954.8952019781619,Y1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1,1017.0,906.5281068654726,1017.0,Y0
0.0,0.0,2.0,0.0,3.0,1.0,0.0,7.0,0.0,1,904.0,953.6733915753878,904.0,Y0
1.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,0.0,1,945.0,930.0834412078416,945.0,Y0
1.0,0.0,4.0,0.0,3.0,2.0,0.0,12.0,0.0,1,1052.0,925.9821238120368,1052.0,Y0
0.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,0,951.0,951.0,959.6470171714691,Y1
