gender_n,ethnicity_n,birth_n,lunchk_n,schoolk_n,degreek_n,ladderk_n,experiencek_n,tethnicityk_n,T,Y_factual,Y0,Y1,which_imputed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1,920.0,887.071825819673,920.0,Y0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,21.0,0.0,1,986.0,980.2373544075729,986.0,Y0
1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0,902.0,902.0,990.0684817965166,Y1
1.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0,1007.0,1007.0,1027.091487003457,Y1
1.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1,936.0,897.0206293369914,936.0,Y0
1.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0,885.0,885.0,912.1070596421907,Y1
0.0,1.0,2.0,1.0,2.0,1.0,0.0,17.0,0.0,0,818.0,818.0,840.4593463970634,Y1
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0,951.0,951.0,937.4648421238553,Y1
0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,1,917.0,901.503151508223,917.0,Y0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,1,983.0,997.833888649818,983.0,Y0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0,903.0,903.0,910.730306249547,Y1
1.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0,905.0,905.0,937.2291825444237,Y1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1033.0,965.4323989262473,1033.0,Y0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,918.0,873.9118866355507,918.0,Y0
1.0,0.0,4.0,0.0,1.0,0.0,0.0,18.0,0.0,0,1018.0,1018.0,1051.6285791565072,Y1
1.0,0.0,3.0,0.0,1.0,1.0,0.0,13.0,0.0,0,923.0,923.0,931.4209345561003,Y1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0,883.0,883.0,899.7441675473516,Y1
0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0,965.0,965.0,945.7681753725317,Y1
0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,1,900.0,884.1895440533447,900.0,Y0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0,983.0,983.0,1000.6955284911661,Y1
1.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,0.0,0,885.0,885.0,895.1102254765595,Y1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,924.0,924.0,981.6901815392199,Y1
1.0,0.0,0.0,1.0,3.0,1.0,0.0,14.0,0.0,1,1058.0,1016.8903582513647,1058.0,Y0
0.0,1.0,2.0,1.0,2.0,0.0,0.0,11.0,0.0,0,880.0,880.0,891.2825150501887,Y1
1.0,1.0,2.0,1.0,2.0,0.0,0.0,10.0,1.0,0,1039.0,1039.0,1014.4684553855801,Y1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0,945.0,945.0,960.9350381629819,Y1
0.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,0.0,0,1081.0,1081.0,1080.4945304680723,Y1
0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0,872.0,872.0,885.0644201216106,Y1
1.0,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,0,929.0,929.0,939.1302480598961,Y1
0.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0,842.0,842.0,930.1812047747492,Y1
