method,Gamma,realized_train,realized_test,objective
R-OW,1.0,0.7424999999999973,0.7129999999999973,0.8724385903192593
R-OW,3.0,0.7531944444444442,0.7354166666666664,0.6374464051433263
R-OW,6.0,0.7490401785714289,0.7271785714285709,0.5691907447875179
R-OW,9.0,0.749044943820225,0.7224971910112368,0.5356535870053252
R-OW,12.1825,0.7391206896551714,0.7020068965517218,0.51811235825459
R-OW,16.0,0.7391206896551714,0.7020068965517218,0.5031541344788825
R-O,1.0,0.7424999999999973,0.7129999999999973,0.8724385903192894
R-O,3.0,0.7275000000000008,0.6909999999999993,0.555990152838138
R-O,6.0,0.699821428571431,0.6597142857142871,0.47913272125736023
R-O,9.0,0.69625,0.657375,0.45462891729628624
R-O,12.1825,0.69625,0.657375,0.44182736040768167
R-O,16.0,0.69625,0.657375,0.43318970347916125
IPW,1.0,0.7424999999999973,0.7129999999999973,0.8724385903192879
IPW,3.0,0.7424999999999973,0.7129999999999973,0.8724385903192879
IPW,6.0,0.7424999999999973,0.7129999999999973,0.8724385903192879
IPW,9.0,0.7424999999999973,0.7129999999999973,0.8724385903192879
IPW,12.1825,0.7424999999999973,0.7129999999999973,0.8724385903192879
IPW,16.0,0.7424999999999973,0.7129999999999973,0.8724385903192879
AIPW,1.0,0.7651524390243907,0.7404146341463425,0.8314393478300506
AIPW,3.0,0.7651524390243907,0.7404146341463425,0.8314393478300506
AIPW,6.0,0.7651524390243907,0.7404146341463425,0.8314393478300506
AIPW,9.0,0.7651524390243907,0.7404146341463425,0.8314393478300506
AIPW,12.1825,0.7651524390243907,0.7404146341463425,0.8314393478300506
AIPW,16.0,0.7651524390243907,0.7404146341463425,0.8314393478300506
Regret-O,1.0,0.7424999999999973,0.7129999999999973,-0.22991818508889023
Regret-O,3.0,0.63125,0.631,-0.014657758012454473
Regret-O,6.0,0.61625,0.6165,0.0
Regret-O,9.0,0.61625,0.6165,0.0
Regret-O,12.1825,0.61625,0.6165,0.0
Regret-O,16.0,0.61625,0.6165,0.0
Hajek-OW,1.0,0.7424999999999973,0.7129999999999973,-0.22991818508889023
Hajek-OW,3.0,0.744090909090909,0.724909090909091,-0.06178919863336463
Hajek-OW,6.0,0.72625,0.70815,-0.026417502620496143
Hajek-OW,9.0,0.70375,0.6839375,-0.012405548249724115
Hajek-OW,12.1825,0.70375,0.6839375,-0.006523939278344284
Hajek-OW,16.0,0.6980357142857143,0.6770714285714285,-0.0010920827123142211
R-OW-DR,1.0,0.7651524390243907,0.7404146341463425,0.8314393478300385
R-OW-DR,3.0,0.7618108751076211,0.7375776179403956,0.651068537188654
R-OW-DR,6.0,0.7563856216055933,0.7387207861260869,0.5689442263626155
R-OW-DR,9.0,0.7544524614882114,0.7364035703830893,0.5231593596989783
R-OW-DR,12.1825,0.7451186800884142,0.715048349991492,0.4993994068819468
R-OW-DR,16.0,0.7421807750831461,0.7086968397137864,0.4835177816659499
R-O-DR,1.0,0.7651524390243907,0.7404146341463425,0.8314393478300506
R-O-DR,3.0,0.7651524390243907,0.7404146341463425,0.6373325671090992
R-O-DR,6.0,0.7470602061059257,0.7151980466342434,0.500498393684613
R-O-DR,9.0,0.7352490385836151,0.7104098306619228,0.4555861732004068
R-O-DR,12.1825,0.7275646311802655,0.6994581420635015,0.4352732269015132
R-O-DR,16.0,0.7098471636438082,0.6823864754476439,0.4274406257766744
Kallus,1.0,0.6858430952535071,0.6601167057911678,-0.1061802240907954
Kallus,3.0,0.6388565030906825,0.6241262622544556,0.06841776098184593
Kallus,6.0,0.633250920966736,0.621926077556951,0.10336279983343713
Kallus,9.0,0.6322481751341279,0.6214517407106673,0.10720193417272596
Kallus,12.1825,0.631872490918266,0.6213341626979751,0.10919548351984074
Kallus,16.0,0.6315298102121001,0.6211664898366108,0.11023403215486462
