arm,X,outcome,count,w_hat,box_down,O_distort,OW_distort
0,-1.0,good,6,2.9681107634806514,1.8065584742558904,1.8065584742558904,1.8065584742558904
0,-1.0,bad,1,2.9681107634806514,1.8065584742558904,1.8065584742558904,1.8065584742558904
0,-0.9,good,14,2.8325919027122195,1.6821636734725545,1.6821636734725547,1.6821636734725547
0,-0.9,bad,3,2.8325919027122195,1.6821636734725545,1.6821636734725545,1.6821636734725545
0,-0.8,good,11,2.7064089884869147,1.5663384784531027,1.5663384784531027,1.5663384784531027
0,-0.8,bad,6,2.7064089884869147,1.5663384784531027,1.5663384784531027,1.5663384784531027
0,-0.7,good,4,2.5889188638495977,1.4584925257540018,1.4584925257540018,1.4584925257540018
0,-0.7,bad,6,2.5889188638495977,1.4584925257540018,1.4584925257540018,1.4584925257540018
0,-0.6,good,16,2.479522679175617,1.3580761222968467,1.3580761222968467,1.3580761222968467
0,-0.6,bad,3,2.479522679175617,1.3580761222968467,1.3580761222968467,1.3580761222968467
0,-0.5,good,9,2.3776628398217436,1.2645774435712414,1.2645774435712414,1.2645774435712414
0,-0.5,bad,3,2.3776628398217436,1.2645774435712414,1.2645774435712414,1.2645774435712414
0,-0.4,good,11,2.282820164054601,1.1775199248545518,1.177519924854552,1.177519924854552
0,-0.4,bad,7,2.282820164054601,1.1775199248545518,1.177519924854552,1.177519924854552
0,-0.3,good,8,2.1945112367704995,1.096459832151538,1.096459832151538,1.096459832151538
0,-0.3,bad,4,2.1945112367704995,1.096459832151538,1.096459832151538,1.096459832151538
0,-0.2,good,14,2.1122859455185385,1.020984000472896,1.0209840004728963,1.0209840004728963
0,-0.2,bad,8,2.1122859455185385,1.020984000472896,1.020984000472896,1.020984000472896
0,-0.1,good,8,2.0357251862680172,0.9507077279246545,0.9507077279246545,0.9507077279246545
0,-0.1,bad,2,2.0357251862680172,0.9507077279246545,0.9507077279246545,0.9507077279246545
0,0.0,good,12,1.9644387272264212,0.8852728148745705,0.8852728148745704,0.8852728148745704
0,0.0,bad,10,1.9644387272264212,0.8852728148745705,0.8852728148745704,0.8852728148745704
0,0.1,good,12,1.8980632198198037,0.8243457382011046,0.8243457382011047,0.8243457382011047
0,0.1,bad,7,1.8980632198198037,0.8243457382011046,0.8243457382011047,0.8243457382011047
0,0.2,good,16,1.8362603466975027,0.7676159513190908,0.7676159513190908,0.7676159513190908
0,0.2,bad,10,1.8362603466975027,0.7676159513190908,0.7676159513190907,0.7676159513190907
0,0.3,good,19,1.7787150973215187,0.7147943013172897,0.7147943013172898,0.7147943013172898
0,0.3,bad,7,1.7787150973215187,0.7147943013172897,0.7147943013172897,0.7147943013172897
0,0.4,good,15,1.725134162351212,0.6656115551399489,0.6656115551399486,0.6656115551399486
0,0.4,bad,8,1.725134162351212,0.6656115551399489,0.6656115551399489,0.6656115551399489
0,0.5,good,7,1.6752444386394498,0.619817027300279,0.6198170273002789,0.6198170273002789
0,0.5,bad,10,1.6752444386394498,0.619817027300279,0.619817027300279,0.619817027300279
0,0.6,good,11,1.6287916372201525,0.5771773021312829,0.5771773021312828,0.5771773021312828
0,0.6,bad,8,1.6287916372201525,0.5771773021312829,0.5771773021312829,0.5771773021312829
0,0.7,good,11,1.585538987192108,0.5374750440612146,0.5374750440612147,0.5374750440612147
0,0.7,bad,16,1.585538987192108,0.5374750440612146,0.5374750440612146,0.5374750440612146
0,0.8,good,18,1.5452660288927336,0.5005078898496198,0.5005078898496199,0.5005078898496199
0,0.8,bad,11,1.5452660288927336,0.5005078898496198,0.5005078898496197,0.5005078898496197
0,0.9,good,16,1.5077674902105596,0.4660874171376632,0.4660874171376632,0.4660874171376632
0,0.9,bad,10,1.5077674902105596,0.4660874171376632,0.46608741713766316,0.46608741713766316
0,1.0,good,22,1.4728522403089814,0.4340381840554226,0.4340381840554226,0.4340381840554226
0,1.0,bad,12,1.4728522403089814,0.4340381840554226,0.4340381840554226,0.4340381840554226
1,-1.0,good,9,1.5105312267429858,0.4686242924730917,0.4686242924730916,0.4686242924730916
1,-1.0,bad,24,1.5105312267429858,0.4686242924730917,0.4686242924730917,0.4686242924730917
1,-0.9,good,7,1.5482204585891948,0.5032198053087356,0.5032198053087357,0.5032198053087357
1,-0.9,bad,18,1.5482204585891948,0.5032198053087356,0.5032198053087354,0.5032198053087354
1,-0.8,good,7,1.5886982189452112,0.5403749504087687,0.5403749504087686,0.5403749504087686
1,-0.8,bad,11,1.5886982189452112,0.5403749504087687,0.5403749504087686,0.5403749504087686
1,-0.7,good,8,1.6321708238028727,0.5802791083255181,0.5802791083255181,0.5802791083255181
1,-0.7,bad,11,1.6321708238028727,0.5802791083255181,0.5802791083255182,0.5802791083255182
1,-0.6,good,7,1.6788598539391348,0.6231356713871845,0.6231356713871845,0.6231356713871845
1,-0.6,bad,7,1.6788598539391348,0.6231356713871845,0.6231356713871845,0.6231356713871845
1,-0.5,good,16,1.7290032843179237,0.6691630803927915,0.6691630803927915,0.6691630803927915
1,-0.5,bad,6,1.7290032843179237,0.6691630803927915,0.6691630803927914,0.6691630803927914
1,-0.4,good,19,1.7828566970535122,0.7185959380095137,0.7185959380095138,0.7185959380095138
1,-0.4,bad,5,1.7828566970535122,0.7185959380095137,0.7185959380095137,0.7185959380095137
1,-0.3,good,7,1.8406945841179059,0.771686204547382,0.7716862045473819,0.7716862045473819
1,-0.3,bad,7,1.8406945841179059,0.771686204547382,0.7716862045473819,0.7716862045473819
1,-0.2,good,20,1.9028117464321679,0.8287044822062564,0.8287044822062561,0.8287044822062561
1,-0.2,bad,7,1.9028117464321679,0.8287044822062564,0.8287044822062564,0.8287044822062564
1,-0.1,good,10,1.9695247964728886,0.8899413943409051,0.8899413943409051,0.8899413943409051
1,-0.1,bad,4,1.9695247964728886,0.8899413943409051,0.8899413943409051,0.8899413943409051
1,0.0,good,17,2.041173772052601,0.9557090667743249,0.9557090667743249,0.9557090667743249
