method,Gamma,realized_test,objective
R-OW,1.0,0.6450000000000014,1.006563005261166
R-OW,3.0,0.6800334106882335,0.6965501810760102
R-OW,6.0,0.6794351173292561,0.6230820898828732
R-OW,9.0,0.6737282962915783,0.597367805162796
R-OW,12.1825,0.6650095739607599,0.5824925893137858
R-OW,16.0,0.6613181379445725,0.5745130234050814
R-O,1.0,0.6450000000000014,1.0065630052611747
R-O,3.0,0.6249834983498352,0.6571709393833018
R-O,6.0,0.6230000000000013,0.5679386836138612
R-O,9.0,0.6230000000000013,0.5390424557425737
R-O,12.1825,0.623,0.5239450216854677
R-O,16.0,0.6230000000000013,0.5137582563551962
IPW,1.0,0.6450000000000014,1.0065630052611787
IPW,3.0,0.6450000000000014,1.0065630052611787
IPW,6.0,0.6450000000000014,1.0065630052611787
IPW,9.0,0.6450000000000014,1.0065630052611787
IPW,12.1825,0.6450000000000014,1.0065630052611787
IPW,16.0,0.6450000000000014,1.0065630052611787
Regret-O,1.0,0.6450000000000014,-0.3349640335336397
Regret-O,3.0,0.607,-0.07468518475815535
Regret-O,6.0,0.6045,-0.040613378900120053
Regret-O,9.0,0.6045,-0.035630216051967666
Regret-O,12.1825,0.6025,-0.03371351320393289
Regret-O,16.0,0.593,-0.03312573435043203
Hajek-OW,1.0,0.6450000000000014,-0.3349640335336446
Hajek-OW,3.0,0.6195,-0.07468518475815535
Hajek-OW,6.0,0.5965,-0.040613378900120053
Hajek-OW,9.0,0.6045,-0.035630216051967666
Hajek-OW,12.1825,0.6025,-0.03371351320393289
Hajek-OW,16.0,0.6025,-0.03312573435043203
