method,Gamma,realized_test,objective
R-OW,1.0,0.6405,0.8141232211273405
R-OW,2.0,0.6453888888888889,0.651866343606326
R-OW,3.0,0.6427,0.5682558912017315
R-OW,4.4817,0.6405,0.5203704891285558
R-OW,5.0,0.6405,0.5116246442254909
R-OW,7.0,0.6405,0.49001760301820707
R-O,1.0,0.6405,0.8141232211274516
R-O,2.0,0.6485,0.6411614278744728
R-O,3.0,0.6405,0.5620410737091512
R-O,4.4817,0.6405,0.5203704891285558
R-O,5.0,0.6405,0.5116246442254909
R-O,7.0,0.6405,0.49001760301820707
IPW,1.0,0.6405,0.8141232211274505
IPW,2.0,0.6405,0.8141232211274505
IPW,3.0,0.6405,0.8141232211274505
IPW,4.4817,0.6405,0.8141232211274505
IPW,5.0,0.6405,0.8141232211274505
IPW,7.0,0.6405,0.8141232211274505
Regret-O,1.0,0.6405,-0.2739306078089435
Regret-O,2.0,0.5675,-0.06768180350233814
Regret-O,3.0,0.513,-0.033840907709148875
Regret-O,4.4817,0.513,-0.015946704394743865
Regret-O,5.0,0.513,-0.010326608774412997
Regret-O,7.0,0.4985,-0.0005441692995025219
Hajek-OW,1.0,0.6405,-0.27393060780894396
Hajek-OW,2.0,0.5675,-0.06768180350233814
Hajek-OW,3.0,0.513,-0.033840907709148875
Hajek-OW,4.4817,0.513,-0.015946704394743865
Hajek-OW,5.0,0.513,-0.010326608774412997
Hajek-OW,7.0,0.4985,-0.0005441692995025219
