method,Gamma,realized_test,objective
R-OW,1.0,0.688,0.9256643312022172
R-OW,2.0,0.72175,0.7023180974761197
R-OW,3.0,0.721,0.6256861786699903
R-OW,4.4817,0.721,0.5528521686414929
R-OW,5.0,0.721,0.5324131646990052
R-OW,7.0,0.732,0.4668661429491894
R-O,1.0,0.688,0.9256643312024362
R-O,2.0,0.6565,0.652404233787991
R-O,3.0,0.7155,0.5109482929669683
R-O,4.4817,0.721,0.44653951155310934
R-O,5.0,0.721,0.43331876578551426
R-O,7.0,0.732,0.4017255959815731
IPW,1.0,0.688,0.9256643312024375
IPW,2.0,0.688,0.9256643312024375
IPW,3.0,0.688,0.9256643312024375
IPW,4.4817,0.688,0.9256643312024375
IPW,5.0,0.688,0.9256643312024375
IPW,7.0,0.688,0.9256643312024375
Regret-O,1.0,0.688,-0.38933336224586346
Regret-O,2.0,0.6315,-0.09428219410205005
Regret-O,3.0,0.6125,-0.03895791777143145
Regret-O,4.4817,0.54,-0.014916021428259289
Regret-O,5.0,0.54,-0.012445967761021099
Regret-O,7.0,0.54,-0.0039978059676142935
Hajek-OW,1.0,0.688,-0.38933336224586096
Hajek-OW,2.0,0.6992142857142858,-0.12172372201763393
Hajek-OW,3.0,0.68855,-0.0447442604642431
Hajek-OW,4.4817,0.54,-0.014916021428259289
Hajek-OW,5.0,0.54,-0.012445967761021099
Hajek-OW,7.0,0.54,-0.0039978059676142935
