dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
N=600,600,5,1.0,uncap,IPW-X-X,1.0,0.3855,0.2415
N=600,600,5,1.0,uncap,IPW-X-X,1.5,0.3855,0.2415
N=600,600,5,1.0,uncap,IPW-X-X,2.0,0.3855,0.2415
N=600,600,5,1.0,uncap,IPW-X-X,2.5,0.3855,0.2415
N=600,600,5,1.0,uncap,IPW-X-X,3.0,0.3855,0.2415
N=600,600,5,1.0,uncap,IPW-X-X,4.0,0.3855,0.2415
N=600,600,5,1.0,uncap,IPW-X-X,5.0,0.3855,0.2415
N=600,600,5,1.0,uncap,IPW-X-X,6.0,0.3855,0.2415
N=600,600,5,1.0,uncap,IPW-X-X,8.0,0.3855,0.2415
N=600,600,5,1.0,uncap,DoublyRobust-X-X,1.0,0.6425,0.0
N=600,600,5,1.0,uncap,DoublyRobust-X-X,1.5,0.6425,0.0
N=600,600,5,1.0,uncap,DoublyRobust-X-X,2.0,0.6425,0.0
N=600,600,5,1.0,uncap,DoublyRobust-X-X,2.5,0.6425,0.0
N=600,600,5,1.0,uncap,DoublyRobust-X-X,3.0,0.6425,0.0
N=600,600,5,1.0,uncap,DoublyRobust-X-X,4.0,0.6425,0.0
N=600,600,5,1.0,uncap,DoublyRobust-X-X,5.0,0.6425,0.0
N=600,600,5,1.0,uncap,DoublyRobust-X-X,6.0,0.6425,0.0
N=600,600,5,1.0,uncap,DoublyRobust-X-X,8.0,0.6425,0.0
N=600,600,5,1.0,uncap,Direct-X-X,1.0,0.1226,0.1001
N=600,600,5,1.0,uncap,Direct-X-X,1.5,0.1226,0.1001
N=600,600,5,1.0,uncap,Direct-X-X,2.0,0.1226,0.1001
N=600,600,5,1.0,uncap,Direct-X-X,2.5,0.1226,0.1001
N=600,600,5,1.0,uncap,Direct-X-X,3.0,0.1226,0.1001
N=600,600,5,1.0,uncap,Direct-X-X,4.0,0.1226,0.1001
N=600,600,5,1.0,uncap,Direct-X-X,5.0,0.1226,0.1001
N=600,600,5,1.0,uncap,Direct-X-X,6.0,0.1226,0.1001
N=600,600,5,1.0,uncap,Direct-X-X,8.0,0.1226,0.1001
N=600,600,5,1.0,uncap,IPW-O-X,1.0,0.3855,0.2415
N=600,600,5,1.0,uncap,IPW-O-X,1.5,0.3946,0.3152
