method,Gamma,regret_train,regret_test,risk_train,risk_test,objective
R-OW,1.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.926054567376859
R-OW,2.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.3728696784743786
R-OW,3.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.1891319121208994
R-OW,4.4817,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.0667205452321828
R-OW,6.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.00407975253939
R-OW,9.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,0.9426147648835591
R-O,1.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.9260545673768608
R-O,2.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.3728696784743786
R-O,3.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.1884747155068842
R-O,4.4817,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.0665486532408086
R-O,6.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.00407975253939
R-O,9.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,0.9426147648835591
IPW,1.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.92605456737686
IPW,2.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.92605456737686
IPW,3.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.92605456737686
IPW,4.4817,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.92605456737686
IPW,6.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.92605456737686
IPW,9.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,1.92605456737686
Regret-O,1.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-3.646317699143213
Regret-O,2.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-2.4674988970466893
Regret-O,3.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-2.0324173221053212
Regret-O,4.4817,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-1.7656305906577612
Regret-O,6.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-1.6289422278458476
Regret-O,9.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-1.4944505297593567
Hajek-OW,1.0,nan,nan,nan,nan,nan
Hajek-OW,2.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-2.635956387811015
Hajek-OW,3.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-2.297340100101262
Hajek-OW,4.4817,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-2.09594618930957
Hajek-OW,6.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-2.002286961177038
Hajek-OW,9.0,-0.04061827615694291,0.12762419996137564,1.894715915878772,1.903395509560895,-1.9157309602247032
R-OW-DR,1.0,-0.4275058080846459,-0.24982169077629868,1.507828383951069,1.5259496188232207,-0.03409735424921401
R-OW-DR,2.0,-0.40431395956822835,-0.22491772535086318,1.5310202324674866,1.5508535842486562,-0.4400064185460024
R-OW-DR,3.0,-0.38646401095620275,-0.21485494890624612,1.5488701810795122,1.5609163606932732,-0.5821832692878877
R-OW-DR,4.4817,-0.3687112235208365,-0.20290681365718388,1.5666229685148785,1.5728644959423355,-0.680382474145192
R-OW-DR,6.0,-0.36445814292758993,-0.2013212481173816,1.570876049108125,1.5744500614821377,-0.7352745309045098
R-OW-DR,9.0,-0.34853717706524767,-0.18174981690445113,1.5867970149704673,1.5940214926950682,-0.7955875284604367
R-O-DR,1.0,-0.4275058080846459,-0.24982169077629868,1.507828383951069,1.5259496188232207,-0.034097354249250325
R-O-DR,2.0,-0.40431395956822835,-0.22491772535086318,1.5310202324674866,1.5508535842486562,-0.4400064185460024
R-O-DR,3.0,-0.38646401095620275,-0.21485494890624612,1.5488701810795122,1.5609163606932732,-0.5821832692878877
R-O-DR,4.4817,-0.3687112235208365,-0.20290681365718388,1.5666229685148785,1.5728644959423355,-0.680382474145192
R-O-DR,6.0,-0.36445814292758993,-0.2013212481173816,1.570876049108125,1.5744500614821377,-0.7352745309045098
R-O-DR,9.0,-0.34853717706524767,-0.18174981690445113,1.5867970149704673,1.5940214926950682,-0.7955875284604367
Kallus,1.0,-0.5299954920653769,-0.354324429769417,1.4053386999703381,1.4214468798301023,nan
Kallus,2.0,-0.5398502966207555,-0.3995441652489915,1.3954838954149595,1.3762271443505278,nan
Kallus,3.0,-0.5336489932021702,-0.4180476506940056,1.4016851988335448,1.3577236589055137,nan
Kallus,4.4817,-0.6077990534154964,-0.5256052292040139,1.3275351386202185,1.2501660803955055,nan
Kallus,6.0,-0.5923309289738707,-0.51757971621109,1.3430032630618443,1.2581915933884293,nan
Kallus,9.0,-0.6933581573659806,-0.6222440597453203,1.2419760346697344,1.153527249854199,nan
