method,Gamma,old_obj,new_obj,old_rt,new_rt,max_dpi
R-OW,1.0,1.1437157563462932,1.1437157563462932,0.675,0.675,0.0
R-OW,2.0,0.7871678601000232,0.7871678601000232,0.7195,0.7194999999999999,0.0
R-OW,3.0,0.6900589598142641,0.6900589598142641,0.7188095238095239,0.7188095238095239,0.0
R-OW,4.4817,0.5871160551464064,0.5871160551464064,0.7288888888888889,0.7288888888888889,0.0
R-OW,5.0,0.5598938632652612,0.5598938632652612,0.7283333333333334,0.7283333333333334,0.0
R-OW,7.0,0.5017286025741846,0.5017286025741846,0.7208333333333333,0.7208333333333333,0.0
R-O,1.0,1.1437157563463338,1.1437157563463338,0.675,0.675,0.0
R-O,2.0,0.769671821871486,0.769671821871486,0.7066666666666667,0.7066666666666667,0.0
R-O,3.0,0.6410322801908864,0.6410322801908864,0.7066666666666667,0.7066666666666667,0.0
R-O,4.4817,0.48107126113898124,0.48107126113898124,0.685,0.685,0.0
R-O,5.0,0.4629233414592488,0.4629233414592488,0.69,0.69,0.0
R-O,7.0,0.41923095818517764,0.41923095818517764,0.69,0.69,0.0
IPW,1.0,1.1437157563463343,1.1437157563463343,0.675,0.675,0.0
IPW,2.0,1.1437157563463343,1.1437157563463343,0.675,0.675,0.0
IPW,3.0,1.1437157563463343,1.1437157563463343,0.675,0.675,0.0
IPW,4.4817,1.1437157563463343,1.1437157563463343,0.675,0.675,0.0
IPW,5.0,1.1437157563463343,1.1437157563463343,0.675,0.675,0.0
IPW,7.0,1.1437157563463343,1.1437157563463343,0.675,0.675,0.0
Regret-O,1.0,-0.6361482295955583,-0.6361482295955583,0.675,0.675,0.0
Regret-O,2.0,-0.19517228290410976,-0.19517228290410976,0.655,0.655,0.0
Regret-O,3.0,-0.1259828650859359,-0.1259828650859359,0.6366666666666667,0.6366666666666667,0.0
Regret-O,4.4817,-0.1021798869419036,-0.1021798869419036,0.6266666666666667,0.6266666666666667,0.0
Regret-O,5.0,-0.09884411986150587,-0.09884411986150587,0.6266666666666667,0.6266666666666667,0.0
Regret-O,7.0,-0.0906029427582185,-0.0906029427582185,0.6266666666666667,0.6266666666666667,0.0
Hajek-OW,1.0,-0.6361482295955588,-0.6361482295955588,0.675,0.675,0.0
Hajek-OW,2.0,-0.20574909962591872,-0.20574909962591872,0.6796666666666666,0.6796666666666666,0.0
Hajek-OW,3.0,-0.1259828650859359,-0.1259828650859359,0.6366666666666667,0.6366666666666667,0.0
Hajek-OW,4.4817,-0.1021798869419036,-0.1021798869419036,0.6266666666666667,0.6266666666666667,0.0
Hajek-OW,5.0,-0.09884411986150587,-0.09884411986150587,0.6266666666666667,0.6266666666666667,0.0
Hajek-OW,7.0,-0.0906029427582185,-0.0906029427582185,0.6266666666666667,0.6266666666666667,0.0
