seed,Gamma,extension,realized_train,realized_train_dep,realized_test,exp_train,exp_test,objective_value,obj_kind,train_use_0,train_use_1,cap_0,cap_1
0,1.0,parametric,0.5395856515504921,0.5395856515504921,0.49830396520286185,0.5317079538426972,0.5210169556586806,-0.052695767630110246,worst_case_regret,0.43514899431011816,0.5648510056898814,nan,nan
0,3.0,parametric,0.5489580254048612,0.5489580254048612,0.5254010481316483,0.5503058847914828,0.5447033743678453,0.09912928425025228,worst_case_regret,0.6334063077073324,0.3665936922926673,nan,nan
0,4.4817,parametric,0.5496367069266969,0.5496367069266969,0.5272627053922763,0.5517489708180473,0.5464901935629642,0.1138370708153305,worst_case_regret,0.6558917004601574,0.344108299539842,nan,nan
0,7.0,parametric,0.5501188980769155,0.5501188980769155,0.5285962329259988,0.5527796689710248,0.5477659809749492,0.12329302105906666,worst_case_regret,0.67158356704412,0.3284164329558798,nan,nan
1,1.0,parametric,0.5505129343093487,0.5505129343093487,0.5332259582964717,0.5373222186339316,0.5379296365340075,-0.013445791350309056,worst_case_regret,0.5086513077351501,0.49134869226484973,nan,nan
1,3.0,parametric,0.5590855252203516,0.5590855252203516,0.5516742620624248,0.547677872867691,0.5481499527356603,0.11102138580071709,worst_case_regret,0.6515395229933105,0.34846047700668964,nan,nan
1,4.4817,parametric,0.560271493030629,0.560271493030629,0.5544762374340334,0.5491932968979075,0.5496337564546867,0.12302417297217148,worst_case_regret,0.6718691975263021,0.32813080247369747,nan,nan
1,7.0,parametric,0.5611737103204757,0.5611737103204757,0.5566008625635888,0.5503422387903786,0.5507699445981842,0.130533136992599,worst_case_regret,0.6861063009131164,0.3138936990868833,nan,nan
2,1.0,parametric,0.5135691698326658,0.5135691698326658,0.5264956984785032,0.5423371112475429,0.5429244356144288,0.018532389408143272,worst_case_regret,0.5396547560069561,0.460345243993044,nan,nan
2,3.0,parametric,0.5250400366996303,0.5250400366996303,0.5351710276443009,0.5505902651232719,0.5509260760090586,0.12220336166594253,worst_case_regret,0.6702629037339163,0.3297370962660835,nan,nan
2,4.4817,parametric,0.5272507367124949,0.5272507367124949,0.5362210972814112,0.5518194478305503,0.5521448794756689,0.1323129185749321,worst_case_regret,0.6882302785202256,0.3117697214797741,nan,nan
2,7.0,parametric,0.5290466891711776,0.5290466891711776,0.5371183486014096,0.5528379509280241,0.5531456484577945,0.13857480478751283,worst_case_regret,0.7007355197086856,0.299264480291315,nan,nan
